Feature ID	Taxon	Confidence
Zotu5933	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Corymbiglomus;s__Corymbiglomus_corymbiforme	0.9995947213697326
Zotu5934	k__Fungi	1.0000000000000098
Zotu5935	k__Fungi	1.000000000000009
Zotu5936	k__Fungi	1.0000000000000016
Zotu5937	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus_indicum	0.99995079647196
Zotu5938	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9960619311299098
Zotu5939	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9727811007548361
Zotu5940	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales	0.7558893945186064
Zotu5941	k__Fungi	0.9999999999999984
Zotu5942	k__Fungi	0.9999999999999989
Zotu5943	k__Fungi;p__Basidiomycota	0.7386778747072809
Zotu5944	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_laxitexta	0.9992247462754792
Zotu5945	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_decidua	0.8411887359821051
Zotu5946	k__Fungi	1.0000000000000009
Zotu5947	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.825519993314867
Zotu5948	k__Fungi;p__Glomeromycota	0.8716164062104237
Zotu5949	k__Fungi	1.0000000000000138
Zotu5950	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	0.860068452896443
Zotu5951	k__Fungi	1.000000000000003
Zotu5952	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophoma;s__unidentified	0.9653322838746687
Zotu5953	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8272525737666507
Zotu5954	k__Fungi	1.0000000000000093
Zotu5955	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__unidentified	0.9212737163205197
Zotu5956	k__Fungi	0.9999999999999958
Zotu5957	k__Fungi	0.9999999999999944
Zotu5958	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8883869513207109
Zotu5959	k__Fungi	0.9999999999999867
Zotu5960	k__Fungi	0.9999999999999939
Zotu5961	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8963712791310618
Zotu5962	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8907266633726272
Zotu5963	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8242549632753866
Zotu5964	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__unidentified;g__unidentified;s__unidentified	0.8760114890771106
Zotu5965	k__Fungi	0.9999999999999943
Zotu5966	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Occultifur;s__Occultifur_tropicalis	0.7898087946148115
Zotu5967	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9132467915750042
Zotu5968	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9845098980506344
Zotu5969	k__Fungi	1.0000000000000135
Zotu5970	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales	0.8989451522825309
Zotu5971	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;s__Articulospora_proliferata	0.8270921441440248
Zotu5972	k__Fungi	0.9999999999999887
Zotu5973	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7429882132930756
Zotu5974	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06;f__unidentified;g__unidentified;s__unidentified	0.9999999913372193
Zotu5975	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7072930043117251
Zotu5976	k__Fungi	1.0000000000000113
Zotu5977	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Corymbiglomus;s__Corymbiglomus_corymbiforme	0.999760515638358
Zotu5978	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Simplicillium;s__unidentified	0.7204912834946997
Zotu5979	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pluteaceae;g__Pluteus;s__Pluteus_nanus	0.8482982348344018
